Feature,SHAP Value,Source
RtnTypByte[],0.0,6
ClsPUBLIC,0.0,6
MtdNmCtnRegex,0.0,6
MtdStripInvkd,0.0,6
ClasSanitiInvkd,0.0,6
ClsFINAL,0.0,6
ClasEncodInvkd,0.0,6
ImplicitMtd,0.0,6
RtnTypCharsequence,0.0,6
MtdNmCtnSaniti,0.0,6
MtdNmStrtSet,0.0,6
ClsNmCtnSaniti,0.0,6
MtdEncodInvkd,0.0,6
MtdConstructor,0.0,6
ClsNmCtnValid,0.0,6
ClasEscapInvkd,0.0,6
ClsNmCtnEscap,0.0,6
MtdNmStrtGet,0.0,6
MtdSanitiInvkd,0.0,6
ClsNmCtnPage,0.0,6
MtdCtnParams,0.0,6
ParamTypCtnChar[],0.0,6
MtdRegexInvkd,0.0,6
MtdNmStrtPut,0.0,6
MtdMatchInvkd,0.0,6
ParamTypCtnByte[],0.0,6
ParamTypCtnStringbuilder,0.0,6
sanitizer,0.0,6
RtnTypStr,-0.005,6
ParamTypEqRtnTyp,-0.0078571428571428,6
MtdModSTATIC,-0.0092857142857142,6
RtnTypStr,0.0107142857142857,7
ParamTypEqRtnTyp,0.0078571428571428,7
MtdReplacInvkd,0.0042857142857142,7
MtdNmCtnReplac,0.0035714285714285,7
MtdNmCtnEncodNotEncoding,0.0028571428571428,7
MtdNmCtnSaniti,0.0014285714285714,7
ClsFINAL,0.0007142857142857,7
MtdNmCtnStrip,0.0,7
MtdNmStrtHas,0.0,7
MtdNmCtnVerif,0.0,7
ParamTypCtnStr,0.0,7
ParamDfRtn,0.0,7
MtdNmCtnUnescape,0.0,7
ParamTypCtnCharsequence,0.0,7
MtdEscapInvkd,0.0,7
ClsSTATIC,0.0,7
ClasRegexInvkd,0.0,7
ClsNmEndsEncoder,0.0,7
MtdNmCtnEscapeNotUnescape,0.0,7
ClsNmCtnEncod,0.0,7
ClsPUBLIC,0.0,7
MtdModPUBLIC,0.0,7
ClasSanitiInvkd,0.0,7
MtdStripInvkd,0.0,7
MtdNmCtnRegex,0.0,7
ImplicitMtd,0.0,7
MtdConstructor,0.0,7
MtdNmStrtSet,0.0,7
RtnTypCharsequence,0.0,7
ClsNmCtnSaniti,0.0,7
MtdEncodInvkd,0.0,7
ClasEncodInvkd,0.0,7
ClsNmCtnValid,0.0,7
ParamTypCtnChar[],0.0,7
RtnTypByte[],0.0,7
MtdRegexInvkd,0.0,7
MtdSanitiInvkd,0.0,7
MtdCtnParams,0.0,7
ClsNmCtnPage,0.0,7
MtdModFINAL,0.0,7
MtdNmStrtGet,0.0,7
ClasEscapInvkd,0.0,7
ClsNmCtnEscap,0.0,7
ParamTypCtnByte[],0.0,7
ParamTypCtnStringbuilder,0.0,7
MtdNmStrtPut,0.0,7
MtdMatchInvkd,0.0,7
sanitizer,0.0,7
MtdModSTATIC,-0.0014285714285714,7
RtnTypStr,0.0071428571428571,8
MtdNmCtnEncodNotEncoding,0.0042857142857142,8
MtdModSTATIC,0.0042857142857142,8
ParamTypEqRtnTyp,0.0035714285714285,8
MtdNmCtnReplac,0.0035714285714285,8
MtdReplacInvkd,0.0028571428571428,8
ClsFINAL,0.0021428571428571,8
MtdNmCtnSaniti,0.0021428571428571,8
MtdNmStrtHas,0.0,8
MtdNmCtnVerif,0.0,8
ClsSTATIC,0.0,8
MtdModPUBLIC,0.0,8
MtdNmCtnUnescape,0.0,8
ParamTypCtnCharsequence,0.0,8
MtdEscapInvkd,0.0,8
MtdNmCtnStrip,0.0,8
ClasRegexInvkd,0.0,8
MtdNmCtnEscapeNotUnescape,0.0,8
ClsPUBLIC,0.0,8
ClsNmCtnEncod,0.0,8
ParamDfRtn,0.0,8
ParamTypCtnStr,0.0,8
ClasSanitiInvkd,0.0,8
MtdStripInvkd,0.0,8
MtdNmCtnRegex,0.0,8
ImplicitMtd,0.0,8
MtdConstructor,0.0,8
MtdNmStrtSet,0.0,8
RtnTypCharsequence,0.0,8
ClsNmCtnSaniti,0.0,8
MtdEncodInvkd,0.0,8
ClasEncodInvkd,0.0,8
ClsNmCtnValid,0.0,8
ClsNmEndsEncoder,0.0,8
RtnTypByte[],0.0,8
MtdRegexInvkd,0.0,8
MtdSanitiInvkd,0.0,8
MtdCtnParams,0.0,8
ClsNmCtnPage,0.0,8
MtdModFINAL,0.0,8
MtdNmStrtGet,0.0,8
ParamTypCtnChar[],0.0,8
ClsNmCtnEscap,0.0,8
ParamTypCtnByte[],0.0,8
ParamTypCtnStringbuilder,0.0,8
ClasEscapInvkd,0.0,8
MtdMatchInvkd,0.0,8
MtdNmStrtPut,0.0,8
sanitizer,0.0,8
ParamTypEqRtnTyp,0.0121428571428571,9
RtnTypStr,0.0064285714285714,9
MtdReplacInvkd,0.005,9
MtdNmCtnReplac,0.0035714285714285,9
ClsFINAL,0.0028571428571428,9
MtdNmCtnEncodNotEncoding,0.0028571428571428,9
MtdNmCtnSaniti,0.0014285714285714,9
MtdNmCtnStrip,0.0,9
MtdNmStrtHas,0.0,9
MtdNmCtnVerif,0.0,9
ParamTypCtnStr,0.0,9
ParamDfRtn,0.0,9
MtdNmCtnUnescape,0.0,9
ParamTypCtnCharsequence,0.0,9
MtdEscapInvkd,0.0,9
ClsSTATIC,0.0,9
ClasRegexInvkd,0.0,9
ClsNmEndsEncoder,0.0,9
MtdNmCtnEscapeNotUnescape,0.0,9
ClsNmCtnEncod,0.0,9
ClsPUBLIC,0.0,9
MtdModPUBLIC,0.0,9
ClasSanitiInvkd,0.0,9
MtdStripInvkd,0.0,9
MtdNmCtnRegex,0.0,9
ImplicitMtd,0.0,9
MtdConstructor,0.0,9
MtdNmStrtSet,0.0,9
RtnTypCharsequence,0.0,9
ClsNmCtnSaniti,0.0,9
MtdEncodInvkd,0.0,9
ClasEncodInvkd,0.0,9
ClsNmCtnValid,0.0,9
ParamTypCtnChar[],0.0,9
RtnTypByte[],0.0,9
MtdRegexInvkd,0.0,9
MtdSanitiInvkd,0.0,9
MtdCtnParams,0.0,9
ClsNmCtnPage,0.0,9
MtdModFINAL,0.0,9
MtdNmStrtGet,0.0,9
ClasEscapInvkd,0.0,9
ClsNmCtnEscap,0.0,9
ParamTypCtnByte[],0.0,9
ParamTypCtnStringbuilder,0.0,9
MtdNmStrtPut,0.0,9
MtdMatchInvkd,0.0,9
sanitizer,0.0,9
MtdModSTATIC,-0.0042857142857142,9
RtnTypStr,0.0092857142857142,10
ParamTypEqRtnTyp,0.0057142857142857,10
