Feature,SHAP Value,instance
ParamTypCtnStr,-0.0062792071398146,4
SiPfxWrite,-0.0064362416653688,4
MtdNm,-0.0084080358941172,4
SoSRMInvkGet,-0.0088635359212809,4
ParamTypCtnByte[],-0.0088648900415435,4
SiSRMInvkFormat,-0.0140328828084295,4
SiSRMInvkRun,-0.01683438148804,4
ClsNmCtnWeb,-0.0250519419025394,4
DbParamNR,-0.0328427765434314,4
ClsNmCtnDb,-0.0344111209503155,4
GuiParamNR,-0.059643166915051,4
PrimitiveParam,-0.1253303234859887,4
PrimitiveParam,0.0238390360770572,5
ParamTypCtnChar[],0.0175176714740367,5
SoSRMInvkGet,0.0170135463158815,5
ClsNmCtnLog,0.0139718897110391,5
FileParamNR,0.0127515822191574,5
ParamTypCtnStr,0.0116924851410789,5
ClsNmCtnWeb,0.0087235525361522,5
ParamTypCtnStr[],0.0084680474710098,5
ClsNmCtnGeneral,0.007475733147262,5
SiSRMInvkWrite,0.0073246768215865,5
IsAbstractCls,0.0064296256852791,5
IsInterface,0.0063346778217141,5
GeneralParamNR,0.0056289936627734,5
SiPfxSet,0.0048754396902768,5
ClsNmCtnFile,0.0032140208474438,5
ParamTypCtnByte[],0.0022151633154681,5
ClsNmCtnXml,0.0013452224157025,5
FileRtnNR,0.0012045906825597,5
SiPfxAdd,0.0008938189243396,5
SoPfxGet,0.0008545678037161,5
DbRtnNR,0.0003275472062437,5
ClsNmCtnGui,0.0001642210847884,5
DbParamNR,3.4762437448820904e-05,5
SiPfxExec,3.847780984111981e-07,5
SoSRMInvkRetrieve,0.0,5
SiSRMInvkSave,0.0,5
MixedSRMInvkMove,0.0,5
MixedSRMInvkDo,0.0,5
MixedPfxMove,0.0,5
MixedPfxCopy,0.0,5
SiPfxRun,0.0,5
SiPfxLog,0.0,5
SiPfxSave,0.0,5
SoSRMInvkRemove,0.0,5
SoSRMInvkFind,0.0,5
SiPfxEval,0.0,5
SiPfxPrint,0.0,5
SoSRMInvkParse,0.0,5
MixedPfxDo,0.0,5
SoPfxRemove,0.0,5
SoPfxFind,0.0,5
SRMDfParam,0.0,5
ConcreteMtd,0.0,5
tag,0.0,5
DbNR,0.0,5
LogParamNR,0.0,5
LogRtnNR,0.0,5
WebParamNR,0.0,5
WebRtnNR,0.0,5
SiSRMInvkConfig,0.0,5
SoSRMInvkAs,0.0,5
SoSRMInvkPull,0.0,5
SoSRMInvkElement,0.0,5
SoSRMInvkPeek,0.0,5
MixedSRMInvkCopy,0.0,5
SiSRMInvkAdd,0.0,5
SiSRMInvkUpdate,0.0,5
SiPfxUpdate,0.0,5
SoSRMInvkList,0.0,5
WebNR,0.0,5
LogNR,0.0,5
SiSRMInvkExec,0.0,5
SiSRMInvkLog,0.0,5
SiSRMInvkPrint,0.0,5
SiSRMInvkEval,0.0,5
SiSRMInvkWarn,0.0,5
SiSRMInvkFatal,0.0,5
SiSRMInvkError,0.0,5
SiSRMInvkInfo,0.0,5
SiSRMInvkInsert,0.0,5
SiSRMInvkPush,0.0,5
SiSRMInvkFormat,0.0,5
SiSRMInvkOffer,0.0,5
XmlRtnNR,0.0,5
GuiNR,0.0,5
GuiParamNR,0.0,5
ParamDfSRM,0.0,5
GuiRtnNR,0.0,5
SiSRMInvkSevere,0.0,5
XmlParamNR,0.0,5
XmlNR,0.0,5
SiSRMInvkFine,0.0,5
FileNR,0.0,5
SiSRMInvkDebug,0.0,5
GeneralNR,0.0,5
SiSRMInvkSet,-1.2011140343021198e-06,5
GeneralRtnNR,-1.261260788615326e-06,5
SiPfxWrite,-1.4405049007099049e-06,5
SiSRMInvkSend,-0.0006159965316704,5
SoPfxParse,-0.0008483591954673,5
SiPfxSend,-0.0016002960516765,5
SoSRMInvkRead,-0.002327933541524,5
MixedPfxTyp,-0.0045092002924924,5
IsConcreteCls,-0.0045792967391398,5
ClsNmCtnDb,-0.0071062495595292,5
SRMDfRet,-0.0092903692057516,5
SoSRMInvkPoll,-0.0114967619207746,5
MtdNm,-0.0116820625745657,5
SiSRMInvkTrace,-0.0136508647382239,5
SiSRMInvkRun,-0.0262935354905029,5
SiPfxTyp,-0.0283267296301017,5
SoPfxTyp,-0.0362709011930506,5
SRMDfThis,-0.0660669590344472,5
SoPfxRead,-0.0733687869303487,5
ParamDfThis,-0.1112607221163948,5
SiPfxTyp,0.1189114683245497,6
SoSRMInvkGet,0.0775562462637031,6
ParamTypCtnStr,0.0331993791310504,6
MtdNm,0.0321805461228029,6
ParamTypCtnByte[],0.0180625267229895,6
ClsNmCtnFile,0.0177291071821049,6
SiPfxPrint,0.0162877542562486,6
ClsNmCtnWeb,0.014380701746827,6
SoPfxTyp,0.0129014636251301,6
ParamDfThis,0.0119664981091579,6
SiPfxSet,0.0103697757824037,6
IsConcreteCls,0.005355445534017,6
SiSRMInvkFormat,0.004007389650736,6
SiPfxAdd,0.0029602427833596,6
SoSRMInvkRead,0.0024228704222063,6
IsAbstractCls,0.0020202935798353,6
SoPfxRead,0.0019338523574788,6
IsInterface,0.0017636263121267,6
ClsNmCtnGeneral,0.0012845716145076,6
ClsNmCtnXml,0.0012483777935294,6
SiPfxLog,0.0009985004967704,6
SiSRMInvkRun,0.0009559040294608,6
DbRtnNR,0.0008118625111865,6
SiSRMInvkSend,0.0007128734283463,6
MixedPfxCopy,0.0005814733922162,6
SiSRMInvkUpdate,0.0005765083650434,6
SiPfxWrite,0.0004171093685348,6
ParamTypCtnStr[],0.0003820087583216,6
LogParamNR,4.429637398233044e-05,6
ClsNmCtnGui,2.9041965631804167e-06,6
SoPfxFind,0.0,6
SoPfxGet,0.0,6
MixedPfxDo,0.0,6
